data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7329896,231,ETH5779,5779,3-Dec-20,2020,1,Battles,Armed clash,TPLF: Tigray Peoples Liberation Front,,3,Military Forces of Ethiopia (2018-),,1,13,Eastern Africa,Ethiopia,Tigray,Southern Tigray,Enderta,Mekele,13.5,39.4667,2,BBC News,International,"On 3 December 2020, clashes were reported between TPLF and military in areas surrounding Mekele. No further information.",0,1607375001,ETH
7329897,231,ETH5778,5778,2-Dec-20,2020,1,Battles,Armed clash,TPLF: Tigray Peoples Liberation Front,,3,Military Forces of Ethiopia (2018-),,1,13,Eastern Africa,Ethiopia,Tigray,Southern Tigray,Enderta,Mekele,13.5,39.4667,2,BBC News,International,"On 2 December 2020, clashes were reported between the TPLF and military in areas surrounding Mekele. No further information.",0,1607375001,ETH
7307404,231,ETH5750,5750,19-Nov-20,2020,1,Protests,Excessive force against protesters,Protesters (Ethiopia),,6,Police Forces of Ethiopia (2018-) Oromia State Police,,1,16,Eastern Africa,Ethiopia,Oromia,East Harerghe,,Dire Tayara,9.3726,42.1068,1,Oromiya Media Network,International,"On 19 November 2020, Oromia state police forces opened fire on protesters in Dire Tayara, East Hararghe, wounding one person. Protesters gathered to denounce the detention of Oromo politicians. [size=no report]",0,1606158330,ETH
7307192,231,ETH5746,5746,18-Nov-20,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces,1,TPLF: Tigray Peoples Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Southern Tigray,,Aksum,14.1234,38.7313,1,BBC News,International,"On 18 November 2020, military and Amhara Regional Special Forces fought intense battles with TPLF forces in Aksum (Southern Tigray). No information on fatalities.",0,1606158329,ETH
7313315,231,ETH5744,5744,16-Nov-20,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Unidentified Ethnic Militia (Ethiopia),,4,14,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Metekel,Dibate,10.65,36.2155,1,Addis Standard,National,"On 16 November 2020, Ethiopian military forces engaged unidentified armed militants in Dibate, Benishangul, killing 20.",20,1606769177,ETH
7301960,231,ETH5738,5738,11-Nov-20,2020,1,Battles,Armed clash,TPLF: Tigray Peoples Liberation Front,,3,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces,1,13,Eastern Africa,Ethiopia,Tigray,Western Tigray,Kafta Humera,Dansha,13.5167,37.1833,2,BBC News,International,"On 11 November 2020, intense clashes between TPLF soldiers on one side and Ethiopian Defence Soldiers with allied Amhara regional special forces militiamen on the other were fought in Tigray region's Western Region. According to estimates, over 500 people were killed during the clashes. Fatalities spread between November 8-11 in 4 days of battles",125,1605559069,ETH
7301963,231,ETH5737,5737,10-Nov-20,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12,Eastern Africa,Ethiopia,Oromia,Guji,Negele Borana,Negele,5.3167,39.5833,2,BBC News,International,"On 10 November 2020, Ethiopia national forces (ENDF) attacked OLF/Shane militants in the Gujji area (Oromia), killing 14.",14,1605559069,ETH
7301965,231,ETH5734,5734,10-Nov-20,2020,1,Battles,Armed clash,TPLF: Tigray Peoples Liberation Front,,3,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces,1,13,Eastern Africa,Ethiopia,Tigray,Western Tigray,Kafta Humera,Dansha,13.5167,37.1833,2,BBC News,International,"On 10 November 2020, intense clashes between TPLF soldiers on one side and Ethiopian Defence Soldiers with allied Amhara regional special forces militiamen on the other were fought in Tigray region's Western Region. According to estimates, over 500 people were killed during the clashes. Fatalities spread between November 8-11 in 4 days of battles",125,1605559069,ETH
7301964,231,ETH5732,5732,9-Nov-20,2020,1,Battles,Armed clash,TPLF: Tigray Peoples Liberation Front,,3,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Amhara Regional Special Forces,1,13,Eastern Africa,Ethiopia,Tigray,Western Tigray,Kafta Humera,Dansha,13.5167,37.1833,2,BBC News,International,"On 9 November 2020, intense clashes between TPLF soldiers on one side and Ethiopian Defence Soldiers with allied Amhara regional special forces militiamen on the other were fought in Tigray region's Western Region. According to estimates, over 500 people were killed during the clashes. Fatalities spread between November 8-11 in 4 days of battles",125,1605559069,ETH
7302384,231,ETH5730,5730,9-Nov-20,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Unidentified Armed Group (Ethiopia),,3,13,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Dangur,Dangur,11.79,36.1952,2,Xinhua,International,"On 9 November 2020, Ethiopian forces attacked armed men in Dangur area (Metekel, Benshangul-Gumaz), killing 16. They stated that the men had been part of groups responsible for attacking and killing civilians in the area throughout the past month.",16,1605559071,ETH
