data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7313311,231,ETH5772,5772,2020-11-28,2020,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray Peoples Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Southern Tigray,Enderta,Mekele,13.5000,39.4667,1,Addis Standard,National,"On 28 November 2020, the Ethiopian army chief announced that the Ethiopian defense forces were in full control of the city of Mekele after clashes with the TPLF. No fatalities were reported.",0,1606769177,ETH
7313316,231,ETH5769,5769,2020-11-27,2020,1,Strategic developments,Arrests,Police Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Oromia,North Shewa (Oromia),Fiche,Fiche,9.8000,38.7333,2,Addis Standard,National,"Arrests: On 27 November 2020, federal police announced the arrest of 469 persons accused of supporting the OLF in North Shewa, Oromia.",0,1606769177,ETH
7313385,231,ETH5770,5770,2020-11-27,2020,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray Peoples Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Eastern Tigray,Hawzen,Hawzan,13.9825,39.4284,1,BBC News,International,"On 27 November 2020, Ethiopian defense forces took control of the town of Hawzan after battling TPLF forces in the area. No information on casualties.",0,1606769177,ETH
7313389,231,ETH5771,5771,2020-11-27,2020,1,Battles,Government regains territory,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray Peoples Liberation Front,,3,13,Eastern Africa,Ethiopia,Tigray,Eastern Tigray,Kelete Awelallo,Wikro,13.7919,39.5991,1,BBC News,International,"On 27 November 2020, Ethiopian defense forces took control of the town of Wikro after battling TPLF forces in the area. No information on casualties.",0,1606769177,ETH
7313310,231,ETH5768,5768,2020-11-26,2020,2,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Unidentified Ethnic Group (Ethiopia),7,47,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Mandura,Genete Mariam,11.0167,36.1000,2,Addis Standard,National,"Around 26 November 2020 (as reported), unidentified armed men from an ethnic militia attacked ethnic minorities in Bulen, Dibate, Mandura (Benishangul/Gumz), and Dangur woredas, killing an unspecified number. Unknown fatalities in an active conflict zone coded as 10 and spread across 4 locations.",2,1606769177,ETH
7313314,231,ETH5765,5765,2020-11-26,2020,1,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Unidentified Ethnic Group (Ethiopia),7,47,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Bulen,Bulen,10.5833,35.9167,1,Addis Standard,National,"On 26 November 2020, unidentified armed men from an ethnic militia attacked ethnic minorities in Bulen (Benishangul/Gumz), Dibate, Mandura, and Dangur woredas, killing an unspecified number. Unknown fatalities in an active conflict zone coded as 10 and spread across 4 locations.",3,1606769177,ETH
7313317,231,ETH5767,5767,2020-11-26,2020,2,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Unidentified Ethnic Group (Ethiopia),7,47,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Metekel,Dibate,10.6500,36.2155,1,Addis Standard,National,"Around 26 November 2020 (as reported), unidentified armed men from an ethnic militia attacked ethnic minorities in Bulen, Dibate (Benishangul/Gumz), Mandura, and Dangur woredas, killing an unspecified number. Unknown fatalities in an active conflict zone coded as 10 and spread across 4 locations.",2,1606769177,ETH
7313318,231,ETH5766,5766,2020-11-26,2020,2,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Unidentified Ethnic Group (Ethiopia),7,47,Eastern Africa,Ethiopia,Benshangul-Gumaz,Metekel,Dangur,Dangur,11.7900,36.1952,1,Addis Standard,National,"Around 26 November 2020 (as reported), unidentified armed men from an ethnic militia attacked ethnic minorities in Bulen, Dibate, Mandura, and Dangur (Benishangul/Gumz) woredas, killing an unspecified number. Unknown fatalities in an active conflict zone coded as 10 and spread across 4 locations.",3,1606769177,ETH
7313308,231,ETH5764,5764,2020-11-25,2020,2,Strategic developments,Disrupted weapons use,Police Forces of Ethiopia (2018-),,1,Unidentified Armed Group (Ethiopia),,3,13,Eastern Africa,Ethiopia,Oromia,Oromia-Finfinne,Sebeta,Sebeta,8.9167,38.6167,1,Addis Standard,National,"Weapons seizure: Around 25 November 2020, federal police disarmed a landmine that had been planted by unidentified persons near a mosque in Sebeta town, Oromia region.",0,1606769177,ETH
